name,id,gender,uid,department
"James Cameron",4762,2,2710,Directing
"Gore Verbinski",4763,2,1704,Directing
"Sam Mendes",4764,2,39,Directing
"Christopher Nolan",4765,2,525,Directing
"Andrew Stanton",4766,2,7,Directing
"Sam Raimi",4767,2,7623,Directing
"Byron Howard",4768,2,76595,Directing
"Joss Whedon",4769,2,12891,Directing
"David Yates",4770,2,11343,Directing
"Zack Snyder",4771,2,15217,Directing
"Bryan Singer",4772,2,9032,Directing
"Marc Forster",4773,2,12995,Directing
"Andrew Adamson",4774,2,5524,Directing
"Rob Marshall",4775,2,17633,Directing
"Barry Sonnenfeld",4776,2,5174,Directing
"Peter Jackson",4777,2,108,Directing
"Marc Webb",4778,2,87742,Directing
"Ridley Scott",4779,2,578,Directing
"Chris Weitz",4780,0,3288,Directing
"Anthony Russo",4781,2,19271,Directing
"Peter Berg",4782,2,36602,Directing
"Colin Trevorrow",4783,2,930707,Directing
"Shane Black",4784,2,1108,Directing
"Tim Burton",4785,2,510,Directing
"Brett Ratner",4786,2,11091,Directing
"Dan Scanlon",4787,2,225976,Directing
"Michael Bay",4788,2,865,Directing
"Joseph Kosinski",4789,2,86270,Directing
"John Lasseter",4790,2,7879,Directing
"Martin Campbell",4791,2,10702,Directing
"Lee Unkrich",4792,2,8,Directing
McG,4793,2,36425,Directing
"James Wan",4794,2,2127,Directing
"J.J. Abrams",4795,2,15344,Directing
"Baz Luhrmann",4796,2,6201,Directing
"Mike Newell",4797,2,10723,Directing
"Guillermo del Toro",4798,2,10828,Directing
"Steven Spielberg",4799,2,488,Directing
"Peter Sohn",4800,2,21198,Directing
"Brenda Chapman",4801,1,59803,Directing
"Justin Lin",4802,0,58189,Directing
"Roland Emmerich",4803,2,6046,Directing
"Robert Zemeckis",4804,2,24,Directing
"Lilly Wachowski",4805,1,9339,Directing
"Pete Docter",4806,2,12890,Directing
"Conrad Vernon",4807,2,12080,Directing
"Jon Favreau",4808,2,15277,Directing
"Martin Scorsese",4809,2,1032,Directing
"Rob Cohen",4810,2,18878,Directing
"David Ayer",4811,0,19769,Directing
"Tom Shadyac",4812,2,4499,Directing
"Doug Liman",4813,2,11694,Directing
"Kevin Reynolds",4814,0,8300,Directing
"Stephen Sommers",4815,2,7775,Directing
"Rupert Sanders",4816,2,228134,Directing
"Robert Stromberg",4817,0,1032536,Directing
"Matt Reeves",4818,2,32278,Directing
"Roland Joffé",4819,0,8965,Directing
"Carl Rinsch",4820,0,239571,Directing
"Mike Mitchell",4821,2,64151,Directing
"Brad Bird",4822,2,7087,Directing
"Chris Williams",4823,2,70238,Directing
"Rich Moore",4824,2,165787,Directing
"Chris Sanders",4825,2,66193,Directing
"Jonathan Mostow",4826,2,7213,Directing
"James Gunn",4827,2,15218,Directing
"Hideaki Anno",4828,2,77921,Directing
"David Fincher",4829,2,7467,Directing
"Matthew Vaughn",4830,2,957,Directing
"Francis Lawrence",4831,2,10943,Directing
"Jon Turteltaub",4832,2,12962,Directing
"Wolfgang Petersen",4833,2,5231,Directing
"James Bobin",4834,0,26205,Directing
"Chris Miller",4835,2,12098,Directing
"Duncan Jones",4836,2,81850,Directing
"Alan Taylor",4837,2,47005,Directing
"Michael Apted",4838,2,10781,Directing
"Oliver Stone",4839,2,1152,Directing
"Jan Pinkava",4840,2,7930,Directing
"Eric Darnell",4841,2,18863,Directing
"Shawn Levy",4842,2,17825,Directing
"Gavin Hood",4843,2,13079,Directing
"Chris Buck",4844,0,15774,Directing
"George Miller",4845,2,20629,Directing
"Ron Howard",4846,2,6159,Directing
"Kenneth Branagh",4847,2,11181,Directing
"Hoyt Yeatman",4848,0,84851,Directing
"Jonathan Liebesman",4849,0,66739,Directing
"Christopher McQuarrie",4850,0,9033,Directing
"Joe Johnston",4851,2,4945,Directing
"Steve Hickner",4852,2,44113,Directing
"Jennifer Yuh Nelson",4853,1,142312,Directing
"M. Night Shyamalan",4854,2,11614,Directing
"Simon Wells",4855,2,21879,Directing
"David Bowers",4856,2,33183,Directing
"Joe Wright",4857,2,36588,Directing
"Rob Minkoff",4858,2,18898,Directing
"Lee Tamahori",4859,2,7256,Directing
"Paul Feig",4860,2,116805,Directing
"Peter Ramsey",4861,2,151007,Directing
"Dean Parisot",4862,2,15002,Directing
"Edward Zwick",4863,2,9181,Directing
"Dean DeBlois",4864,2,69797,Directing
"Alex Proyas",4865,2,21085,Directing
"Richard Donner",4866,2,7187,Directing
"Ang Lee",4867,2,1614,Directing
"Jon M. Chu",4868,2,54507,Directing
"Breck Eisner",4869,2,52609,Directing
"Hironobu Sakaguchi",4870,0,21692,Directing
"Peter Weir",4871,2,2690,Directing
"Bill Condon",4872,2,15557,Directing
"Louis Leterrier",4873,2,18865,Directing
"Alejandro González Iñárritu",4874,2,223,Directing
"David Soren",4875,0,94075,Directing
"Paul Greengrass",4876,2,25598,Directing
"Mark Osborne",4877,2,57741,Directing
"Peyton Reed",4878,2,59026,Directing
"Tim Johnson",4879,2,52870,Directing
"Phillip Noyce",4880,2,13015,Directing
"Darren Aronofsky",4881,2,6431,Directing
"Alfonso Cuarón",4882,2,11218,Directing
"Ralph Zondag",4883,2,65855,Directing
"Tom McGrath",4884,2,18864,Directing
"Chris Columbus",4885,2,10965,Directing
"Robert Schwentke",4886,2,57270,Directing
"Carlos Saldanha",4887,2,5714,Directing
"Guy Ritchie",4888,2,956,Directing
"Paul Verhoeven",4889,2,10491,Directing
"John McTiernan",4890,0,1090,Directing
"Tony Gilroy",4891,2,19242,Directing
"Joel Schumacher",4892,2,5572,Directing
"John Woo",4893,2,11401,Directing
"Tim Story",4894,2,20400,Directing
"Mark Steven Johnson",4895,2,16837,Directing
"Neill Blomkamp",4896,2,82194,Directing
"David Twohy",4897,0,28239,Directing
"José Padilha",4898,2,52576,Directing
"James L. Brooks",4899,2,3388,Directing
"James Mangold",4900,2,366,Directing
"George Lucas",4901,2,1,Directing
"Thomas Langmann",4902,2,20674,Directing
"Cedric Nicolas-Troyan",4903,0,1454884,Directing
"Roger Donaldson",4904,2,21370,Directing
"Dave Green",4905,0,1101410,Directing
"Josh Trank",4906,2,934803,Directing
"Brad Peyton",4907,2,132876,Directing
"Roger Spottiswoode",4908,2,1724,Directing
"Steven Soderbergh",4909,2,1884,Directing
"Rob Letterman",4910,0,65630,Directing
"Michel Gondry",4911,2,201,Directing
"Noam Murro",4912,0,78914,Directing
"Raja Gosnell",4913,2,1215,Directing
"Will Finn",4914,2,70287,Directing
"Jan de Bont",4915,2,2209,Directing
"Len Wiseman",4916,2,3950,Directing
"Frank Coraci",4917,2,57370,Directing
"Michael Mann",4918,2,638,Directing
"Bo Welch",4919,2,5133,Directing
"Ron Clements",4920,2,15810,Directing
"Peter Chelsom",4921,2,36804,Directing
"Dominic Sena",4922,2,58498,Directing
"Tony Scott",4923,2,893,Directing
"Paul Weitz",4924,2,3289,Directing
"Adam McKay",4925,2,55710,Directing
"Chuck Russell",4926,2,26713,Directing
"Quentin Tarantino",4927,2,138,Directing
"Gary Trousdale",4928,2,62047,Directing
"Mark Dindal",4929,2,61411,Directing
"Simon West",4930,2,12786,Directing
"Stefen Fangmeier",4931,0,25453,Directing
"Spike Jonze",4932,2,5953,Directing
"Chris Wedge",4933,2,5713,Directing
"Florian Henckel von Donnersmarck",4934,2,8193,Directing
"Peter Hyams",4935,2,37710,Directing
"Tom Tykwer",4936,2,1071,Directing
Pitof,4937,2,4586,Directing
"Brad Silberling",4938,0,11887,Directing
"Patrick Hughes",4939,2,143059,Directing
"Ericson Core",4940,2,21673,Directing
"Lawrence Guterman",4941,0,64191,Directing
"Ron Underwood",4942,2,33485,Directing
"Steve Martino",4943,2,71729,Directing
"David Mamet",4944,2,1255,Directing
"Zhang Yimou",4945,2,607,Directing
"Ash Brannon",4946,2,12905,Directing
"Frank Oz",4947,2,7908,Directing
"Jay Roach",4948,2,6737,Directing
"Luc Besson",4949,2,59,Directing
"Michael Patrick King",4950,2,38023,Directing
"Don Michael Paul",4951,2,27005,Directing
"Sergei Bodrov",4952,0,130938,Directing
"Wally Pfister",4953,2,559,Directing
"Rupert Wyatt",4954,0,77357,Directing
"Mark Waters",4955,2,54050,Directing
"John Moore",4956,2,12028,Directing
"John Lee Hancock",4957,2,54040,Directing
"Renny Harlin",4958,2,16938,Directing
"Phil Lord",4959,0,107446,Directing
"Ben Stiller",4960,2,7399,Directing
"Tony Bancroft",4961,2,66190,Directing
"Timur Bekmambetov",4962,2,23430,Directing
"Walt Becker",4963,2,68573,Directing
"Dennis Dugan",4964,2,17494,Directing
"Sydney Pollack",4965,2,2226,Directing
"Thor Freudenthal",4966,2,109857,Directing
"Brian De Palma",4967,2,1150,Directing
"Mick Jackson",4968,2,8843,Directing
"Alan J. Pakula",4969,2,6349,Directing
"Kathryn Bigelow",4970,1,14392,Directing
"John Milius",4971,2,8328,Directing
"Andrei Konchalovsky",4972,2,58728,Directing
"Gary Ross",4973,2,23964,Directing
"Paul W.S. Anderson",4974,2,4014,Directing
"Genndy Tartakovsky",4975,0,185438,Directing
"Kevin Lima",4976,2,15775,Directing
"Daniel Espinosa",4977,2,125738,Directing
"Nancy Meyers",4978,1,17698,Directing
"Jill Culton",4979,1,7881,Directing
"Neil Burger",4980,2,17329,Directing
"Jean-Jacques Annaud",4981,2,2352,Directing
"Barry Cook",4982,2,66191,Directing
"Martin Brest",4983,2,769,Directing
"Andrew Davis",4984,2,12989,Directing
"Bob Fosse",4985,0,66777,Directing
"Tarsem Singh",4986,2,56512,Directing
"Edgar Wright",4987,2,11090,Directing
"Jon Amiel",4988,2,15148,Directing
"Peter Segal",4989,2,13426,Directing
"Pete Travis",4990,0,43141,Directing
"George A. Romero",4991,2,14999,Directing
"Sylvester Stallone",4992,2,16483,Directing
"Todd Phillips",4993,2,57130,Directing
"Karey Kirkpatrick",4994,2,52845,Directing
"Gary Winick",4995,2,17046,Directing
"Mimi Leder",4996,1,51984,Directing
"Seth Gordon",4997,2,71600,Directing
"Adam Shankman",4998,2,20739,Directing
"D.J. Caruso",4999,2,40256,Directing
"Anthony Minghella",5000,2,2239,Directing
"Albert Hughes",5001,2,11447,Directing
"Les Mayfield",5002,0,56911,Directing
"Joe Pytka",5003,2,23677,Directing
"Scott Derrickson",5004,2,55499,Directing
"Ivan Reitman",5005,2,8858,Directing
"Eric Brevig",5006,2,9622,Directing
"Kelly Asbury",5007,2,12079,Directing
"Stephen Hopkins",5008,2,2042,Directing
